OrgType,OrgCode,LocationName,Cty,Name,Address,Line2,Line3,Line4,Telephone,EmailAddress,ContactName,ediSONInstance,ediSONCompanyCode
General,ORG0011,TWTPE,,GOLDEN HOLIDAY CO LTD,188 188 RUEIGUANG RD,TAIPEI TAIWAN ROC,,,886000000000,testingmainguyen+11@gmail.com,ARTURO PAN,,
General,ORG0012,IDJKT,,PT CERMAI MAKMUR ABADI INTERNA,ROXY MAS OFFICE BLK D5/18-19,JAKARTA,,,622000000000,testingmainguyen+12@gmail.com,THERESIA,,
General,ORG0013,,,VIETNAM HOUSEWARES CORPORATION,"BINH PHUOC B, BINH CHUAN WARD",BINH DUONG PROVINCE,,,84 2743719719,testingmainguyen+13@gmail.com,JESSICA,,
General,ORG0014,AUFRE,,HSA HERITAGE PTY LTD,46 WARRIDA WAY,MADDINGTON,,,08 9356 2000,testingmainguyen+14@gmail.com,ROCKY,,
General,ORG0015,,,PT. INTI BINTANG MAS PERKASA,NO 25  PLUMBON,CIREBON,,,62231 321531,testingmainguyen+15@gmail.com,SUPARYONO,,
General,ORG0016,HKHKG,,GOLDEN PRIDE ENTERPRISE  (GP ENTERP,67-71  CHATHAM ROAD SOUTH,TSIM SHA TSUI KOWLOON,,,852 2541 1236,testingmainguyen+16@gmail.com,SUSANNA,,
General,ORG0017,HKHKG,,RICHFIELD ENTERPRISES INT.LTD,2-16 FA YUEN ST,MONGKOK,,,03 9558 9688,testingmainguyen+17@gmail.com,BILL YU,,
General,ORG0018,AUMEL,,GARMOND AUSTRALIA OVERSEAS,5/34 CARRICK DRIVE,TULLAMARINE,,,03 9338 0044,testingmainguyen+18@gmail.com,SANJA NISIC/OLIVIA SKINNER,,
General,ORG0019,CNSHA,,LEVEL EFFECT,176  ZHENPING ROAD,SHANGHAI,,,86 2132030497,testingmainguyen+19@gmail.com,SHANE,,
General,ORG0020,HKHKG,,M & LEE TRADING LIMITED,NO 11 CHEUNG YUE STREET,CHEUNG SHA WAN KOWLOON,,,852 3188 2501,testingmainguyen+20@gmail.com,ANNA YUENG/EDITH LAI,,
General,ORG0021,CNCAN,,BEST ELEGANT INTERNATIONAL LTD,NO 530 BIYING ROAD,CHIGANG HAIZHU DISTRICT GUANGZHOU,,,862000000000,testingmainguyen+21@gmail.com,PEARL CAI,,
General,ORG0022,HKHKG,,CHASE ON DEVELOPMENT LIMITED,182-190 TAILIN,HA KWAI CHUNG N,,,852 24273933,testingmainguyen+22@gmail.com,ERIC NG,,
General,ORG0023,CNCAN,,PRO-DESIGN HOMEWARE COMPANY,NO 8 JIAYU STREET BINJIANGDONG ROAD,HAIZHU DISTRICT GUANGZHOU,,,8620 34251481,testingmainguyen+23@gmail.com,STEVEN,,
General,ORG0024,,,OLYMPIA PUBLISHING PTY LTD,19 RAVENSWOOD ROAD,MAIDA VALE,,,08 9479 8000,testingmainguyen+24@gmail.com,MATTHEW CODY,,
General,ORG0025,HKHKG,,BESTWAY (HONG KONG) INTERNATIO,66  MODY ROAD,KOWLOON,,,8621 69135121,testingmainguyen+25@gmail.com,GRANT YANG,,
General,ORG0026,TWTPE,,AROMATE INDUSTRIES CO LTD,497 CHUNG CHENG ROAD,SHING-TIEN CITY TAIPEI,,,8862 86673195,testingmainguyen+26@gmail.com,HENRY,,
General,ORG0027,CNSZX,,UNION GRAND ENTERPRISES LTD,7 LONGSHAN WU ROAD,DISHAN CUN XINSHENG LONGGANG SHENZH,,,8680000000000,testingmainguyen+27@gmail.com,BILL TSENG,,
General,ORG0028,,,WAWI EURO GMBH,IM GEIERSPIEL 2,MUNCHWEILER RHEINLAND-PFALZ,,,49 6395 3060 110,testingmainguyen+28@gmail.com,MICHAEL REICHEL,,
General,ORG0029,CNCAN,,HOMEWARE CHINA CO LTD,NO 730 YINGBIN RD,GUANGZHOU,,,862 039993373,testingmainguyen+29@gmail.com,ANDY DONG,,
General,ORG0030,SGSIN,,SAMAX SINGAPORE,271  BUKIT TIMAH ROAD,SINGAPORE,,,65 6225 5666,testingmainguyen+30@gmail.com,DAVID,,
General,ORG0031,AUSYD,,TEMPO (AUST) PTY LTD OVERSEAS,PO BOX 6041,FRENCHS FOREST,,,02 8977 3705,testingmainguyen+31@gmail.com,CARLO SOLIGO,,
General,ORG0032,CNSZX,,SHENZHEN YIBO ELECTRONIC (DIRECT FA,TIANTOU VILLAGE PINGSHAN TOWN,LONGGANG DISTRICT SHENZHEN,,,755 86001020,testingmainguyen+32@gmail.com,CARRIE,,
General,ORG0033,SGSIN,,UNI BRANDS PTE LTD,LEVEL 8 SOON HOCK BUILDING,SINGAPORE,,,65 6264 4111,testingmainguyen+33@gmail.com,TJ,,
General,ORG0034,CNWUX,,AKAROA ENTERPRISES CO LIMITED DO NO,68 HUICHANG ROAD,HUISHAN INDUSTRY PARK WUXI,,,03 9357 7737,testingmainguyen+34@gmail.com,ABE & TARIK 0419 889 311,,
General,ORG0035,AUMEL,,GLOBAL SOURCE TRADING O/SEAS,444 CITY ROAD,SOUTH MELBOURNE,,,0412 101 200,testingmainguyen+35@gmail.com,DAVID TREGAMBE,,
General,ORG0036,AUMEL,,IG DESIGN GROUP AUSTRALIA PTY LIMIT,121 RAYHUR STREET,CLAYTON SOUTH,,,03 9563 4588,testingmainguyen+36@gmail.com,FRANK PYNAAKER,,
General,ORG0037,HKHKG,,WINNING KEY MANUFACTURING CO,NO 6 HONG MAN ST,CHAI WAN,,,852 2544 0986,testingmainguyen+37@gmail.com,KENNY CHIU,,
General,ORG0038,CNNGB,,PAPER CREATIVE LIMITED,8  LANE 299 GUANGHUA ROAD,NATIONAL HI-TECH ZONE NINGBO,,,86 57483022671,testingmainguyen+38@gmail.com,ANDY ZHANG,,
General,ORG0039,,,GRANT & BOWMAN INC USA (WELLS FARGO,345 NORTH MAPLE DRIVE,BEVERLY HILLS,,,1 311 275 0110,testingmainguyen+39@gmail.com,MYLES BOWMAN,,
General,ORG0040,AUMEL,,BENDIGO WOOLLEN MILLS T/A SALEUTION,4 LANSELL STREET,BENDIGO,,,03 9809 6555,testingmainguyen+40@gmail.com,EARLE SCAHER 0418 356 743,,
General,ORG0041,HKHKG,,FOURPOINT DIRECT EXPORTS,32 HOLLYWOOD ROAD CENTRAL,HONG KONG,,,662 575 3467,testingmainguyen+41@gmail.com,ADRIAN BRUNSDON,,
General,ORG0042,,,FAMOR ITALIA SRL (EUROPE),VIA BOCCHERINI NO 8,SALVIANO LI,,,39058 6864587,testingmainguyen+42@gmail.com,STEFANO BARSOTTI,,
General,ORG0043,HKHKG,,GP ENTERPRISE CHINA,68-74 BONHAM STRAND,SHEUNG WAN,,,852 2541 1236,testingmainguyen+43@gmail.com,SUSANNA,,
General,ORG0044,AUSYD,,INDENT DIRECT AUSTRALIA PTY LT,47-14 NARABANG WAY,BELROSE,,,02 9450 0681,testingmainguyen+44@gmail.com,GEORGE ROSETTENSTEIN,,
General,ORG0045,,,CLASSIC SIGN & DESIGN,CLASSIC HOUSE ROWAN COURT,LEEDS,,,441000000000,testingmainguyen+45@gmail.com,PHIL RAKUSEN,,
General,ORG0046,,,SWEET MAGIC EUROPE FOOD,Z.K TRAKIA 331A,PLOVDIV,,,359 885 636032,testingmainguyen+46@gmail.com,EVELINA BOYADZHIEVA,,
General,ORG0047,,,WHAT MORE UK LIMITED,SHORTEN BROOK WAY ALTHAM BUS P,ENGLAND,,,01282 687030,testingmainguyen+47@gmail.com,TONY GRIMSHAW,,
General,ORG0048,,,Gunz Warenhandels Gmbh,Im Hau 23,Voralberg,,,0043 552363636,testingmainguyen+48@gmail.com,SIMONE GUNZ,,
General,ORG0049,GBMNC,,Rayburn Trading Co Ltd,90 North Street,Manchester,,,44 161 2141304,testingmainguyen+49@gmail.com,wally,,
General,ORG0050,THBKK,,BONDWELL TRADING,95 SUKHUMVIT 501 24,BANGKOK,,,0419 780591,testingmainguyen+50@gmail.com,TREVOR CURTIS,,
General,ORG0051,CNSHA,,HYPER-EXTENSION,NO 555 DONGCHUAN ROAD, SHANGHAI,,,86 021 55328810,testingmainguyen+51@gmail.com,JASON GRANT,,
General,ORG0052,AUSYD,,JOVIC TRADING,UNIT 2B 17-19 PAVESI STREET,SMITHFIELD,,,02 9681 7596,testingmainguyen+52@gmail.com,VICKI CARUANA,,
General,ORG0053,,,COREVISION LIMITED,"11F-4 16, Sec.1, Chang-An E. Road",CHUNGSHAN DISTRICT,,,886000000000,testingmainguyen+53@gmail.com,Terry Lu,,
General,ORG0054,AUMEL,,LICENSED SOCKS AND APPAREL AUSTRALI,16 AGOSTA DRIVE,LAVERTON NORTH,,,03 9311 3300,testingmainguyen+54@gmail.com,SERGE NIEBORSKI,,
General,ORG0055,HKHKG,,BEST MADE TOYS GLOBAL ENTERPRISES L,75 MODY ROAD, TSIMSHATSUI EAST KOWLOON,,,852 2311 0132,testingmainguyen+55@gmail.com,GERRY,,
General,ORG0056,ESAGP,,PERFECT IMPORTERS AND WHOLESALERS,51 BOULDER ROAD,MALAGA,,,0401 150395,testingmainguyen+56@gmail.com,IVAN,,
General,ORG0057,HKHKG,,MATTEL BRANDS,0,HARBOUR CITY TSIMSHATSUI KOWLOON,,,852 3185 5000,testingmainguyen+57@gmail.com,BONNIE LEUNG,,
General,ORG0058,CNSZX,,EA LIVING INTERNATIONAL LIMITED,WEST ZHEN XING ROAD,"FUTIAN DISTRICT, SHENZHEN",,,86 755 83367811,testingmainguyen+58@gmail.com,ALAN CHAN,,
General,ORG0059,CNSZX,,DO NOT USE,29TH FLOOR OVERSEAS F/SHIP BLDG,12 YING CHUN RD LUOHN SHENZHEN,,,86 75525180126,testingmainguyen+59@gmail.com,BILL KOTAMANDIS,,
General,ORG0060,AUMEL,,P & J Giftware Wholesalers Overseas,22 SULLIVAN STREET,MOORABBIN,,,03 9555 2333,testingmainguyen+60@gmail.com,RYAN ZHU,,
General,ORG0061,HKHKG,,JA-RU (HK) LIMITED,11/F INTER-CONTINENTAL PLAZA NO 94,GRANVILLE ROAD KOWLOON,,,852 3602 7000,testingmainguyen+61@gmail.com,QUINLEY CHEN,,
General,ORG0062,AUSYD,,YALE PRIMA PTY LTD (YALE APPL GROUP,20 ST ALBANS ROAD,KINGSGROVE,,,02 9577 1700,testingmainguyen+62@gmail.com,KULDEEP WAHI,,
General,ORG0063,AUSYD,,DATS PTY LTD,1/51 EASTERN CREEK DRIVE,EASTERN CREEK,,,02 9830 3100,testingmainguyen+63@gmail.com,ANTHONY BERTRAM,,
General,ORG0064,AUSYD,,ASIA PACIFIC BRANDS PTY LTD,UNIT 32 159 ARTHUR STREET,HOMEBUSH WEST,,,612 9746 8480,testingmainguyen+64@gmail.com,ARTHUR KARRAS  0419 991 107,,
General,ORG0065,AUMEL,,BENEDIKT IMPORTS PTY LTD,2 KEYS ROAD,MOORABBIN,,,9577 3000,testingmainguyen+65@gmail.com,BRUNO SAVI,,
General,ORG0066,AUMEL,,LICENSING ESSENTIALS,18 HUDSON COURT,KEYSBOROUGH,,,03 9754 0754,testingmainguyen+66@gmail.com,JAMES ECKERSLEY,,
General,ORG0067,AUSYD,,MNB VARIETY IMPORTS PTY LTD,318 HORSLEY ROAD,MILPERRA SYDNEY,,,02 9690 1622,testingmainguyen+67@gmail.com,GIRISH,,
General,ORG0068,AUSYD,,UNCLE BILL'S (AUST) PTY LTD,48B EGERTON STREET,SILVERWATER,,,02 8799 3500,testingmainguyen+68@gmail.com,DAVID GREEN,,
General,ORG0069,AUMEL,,UNIVERSAL GIFT TRADERS OVERSEAS,88 HERALD STREET,CHELTENHAM,,,61 3 9584 4155,testingmainguyen+69@gmail.com,ADAM NORICH,,
General,ORG0070,HKHKG,,AKAROA ENTERPRISES CO LIMITED,151 GLOUCESTER ROAD,WAN CHAI,,,791 6495655,testingmainguyen+70@gmail.com,ABE & TARIK,,
General,ORG0071,AUMEL,,FBA INTERNATIONAL PTY LTD,35-77 EMU ROAD,MAIDSTONE,,,03 9317 9111,testingmainguyen+71@gmail.com,SIMONE CUNNINGHAM,,
General,ORG0072,THBKK,,REGAL BABYCARE PRODUCTS,63 SUKHUMVIT ROAD,KLONGTON NUA WATTANA BANGKOK,,,662 711 6880,testingmainguyen+72@gmail.com,SIRIPORN VILAILERTWATTANA,,
General,ORG0073,AUMEL,,UNITED WHOLESALERS,4-6 DISSIK STREET,CHELTENHAM,,,9555 3211,testingmainguyen+73@gmail.com,WALLY,,
General,ORG0074,AUMEL,,NEW GLOBAL TRADING P/L,4 CROFT STREET,OAKLEIGH,,,03 95632655,testingmainguyen+74@gmail.com,STANLEY SHI,,
General,ORG0075,AUMEL,,ZAK AUSTRALIA PTY LTD (USD) (HOT TO,1808 PRINCESS HWY,CLAYTON,,,03 8561 7333,testingmainguyen+75@gmail.com,BETHANEY HENRY,,
General,ORG0076,HKHKG,,GSM INTERNATIONAL LIMITED,52A SHA TSUI ROAD,TSUEN WAN,,,852 2480 3303,testingmainguyen+76@gmail.com,LOU BARTEMUCCI,,
General,ORG0077,AUMEL,,CDSI PTY LTD,5/121 FRANKSTON DANDENONG ROAD,DANDENONG,,,9702 9177,testingmainguyen+77@gmail.com,HITESH BHATT,,
General,ORG0078,AUMEL,,PARTYWARE PTY LTD,10 UNIVERSITY PLACE,CLAYTON NORTH,,,03 9562 1222,testingmainguyen+78@gmail.com,ANI WONG,,
General,ORG0079,,,SECONDO VERGANI S.P.A,VIA TACITO 7,CREMONA,,,39 0372 434331,testingmainguyen+79@gmail.com,EMANUELE BOZZETTI,,
General,ORG0080,AUMEL,,ICB,333 FLINDERS LANE,MELBOURNE,,,03 9628 2700,testingmainguyen+80@gmail.com,GARY MCADAM,,
General,ORG0081,HKHKG,,PULEO ASIA LIMITED,1 HOK CHEUNG STREET,HUNG HOM KOWLOON,,,,testingmainguyen+81@gmail.com,CHRIS PULEO,,
General,ORG0082,HKHKG,,HL TOYS INTERNATIONAL LTD,67 MODY RD,TSIMSHATSUI EAST KOWLOON,,,852 2366 2282,testingmainguyen+82@gmail.com,MARIA SIN,,
General,ORG0083,AUMEL,,ARC DISTRIBUTION OCEANIA,UNIT 11 127 FAIRBAIRN ROAD,SUNSHINE WEST,,,03 9310 1755,testingmainguyen+83@gmail.com,SHARIAR KHAN,,
General,ORG0084,HKHKG,,B & L CORPORATION,704 CASTLE PEAK ROAD,LAI CHI KOK KLN,,,852 2721 2898,testingmainguyen+84@gmail.com,JACKY MA,,
General,ORG0085,AUFRE,,PORTA CRAFT (ASIA SOURCE AUSTRALIA),210 MADDINGTON ROAD,MADDINGTON,,,08 9493 8000,testingmainguyen+85@gmail.com,BRADLEY ELLIOTT,,
General,ORG0086,HKHKG,,MAX Q HOLDINGS LIMITED,19 ON SUM STREET,SHA TIN,,,0011 852 2369…,testingmainguyen+86@gmail.com,CHRIS RAE,,
General,ORG0087,AUSYD,,MAYVIC PTY LTD,199-203 WOODPARK ROAD,SMITHFIELD,,,,testingmainguyen+87@gmail.com,BENNY PORAT,,
General,ORG0088,AUADL,,SMASH ENTERPRISES,33 REDLAND DRIVE,MITCHEM,,,03 9955 6543,testingmainguyen+88@gmail.com,SIMON COWEN,,
General,ORG0089,AUMEL,,RIBTEX INTERNATIONAL,158-168 BROWNS ROAD,NOBLE PARK,,,03 8793 5000,testingmainguyen+89@gmail.com,MICHAEL MORAN,,
General,ORG0090,AUMEL,,THE DECOR CORPORATION PTY LTD O/SEA,1314 FERNTREE GULLY ROAD,SCORESBY,,,03 9759 2235,testingmainguyen+90@gmail.com,PETER GRAVE,,
General,ORG0091,,,HIGHCREST RETAIL BRANDS,ALBION BUSINESS CENTRE,LEESD ROAD GREENGATES  BRADFORD,,,01274 623480,testingmainguyen+91@gmail.com,CARLA WARREN,,
General,ORG0092,AUMEL,,ALL XTREME PTY LTD (BIBBY FINANCIAL,14 ABBOTTS ROAD,DANDENONG SOUTH,,,86 574 83879936,testingmainguyen+92@gmail.com,WARREN HUNTER  0413 637 013,,
General,ORG0093,HKHKG,,KIDSGRO LIMITED,67 MODY ROAD,TSIMSHATSUI EAST KOWLOON,,,852 2366 2282,testingmainguyen+93@gmail.com,CINDY TSUI,,
General,ORG0094,AUMEL,,JOHN SANDS (AUSTRALIA) LTD,382 WELLINGTON ROAD,MULGRAVE,,,03 9239 3446,testingmainguyen+94@gmail.com,MIKE FERNS,,
General,ORG0095,CNXMN,,GIFTOYS (H.K) CO LTD,ROOM 31ABC BAO FU BLDG NO 819 SOUTH,XIA MEN,,,0086 592 5168968,testingmainguyen+95@gmail.com,JOYCE,,
General,ORG0096,AUMEL,,FAULKNER INDUSTRIES PTY LTD,35-37 CANTERBURY ROAD,BRAESIDE,,,03 9588 0400,testingmainguyen+96@gmail.com,TONY RIDDELL,,
General,ORG0097,HKHKG,,FRESH CONCEPT INDUSTRIES LIMITED,U 1014 26 KAI CHEUNG RODA BLOCK A,KOWLOON BAY,,,,testingmainguyen+97@gmail.com,hoe lui,,
General,ORG0098,HKHKG,,GIANT SOLAR LIGHTING & EQUIPMENT CO,302-308 HENNESSY RD,WANCHAI,,,852 21381638,testingmainguyen+98@gmail.com,H.C LEE,,
General,ORG0099,HKHKG,,FUNVILLE LIMITED,U1117-14 SCIENCE MUSEUM ROAD,TSIM SHA TSUI EAST,,,,testingmainguyen+99@gmail.com,ED MEDICA,,
General,ORG0100,HKHKG,,DICKIE TOYS HONG KONG LTD,21 CANTON ROAD,TSIM SHA TSUI KOWLOON,,,85200000000,testingmainguyen+100@gmail.com,MR MAX THIEL,,
General,ORG0101,CNNGB,,NINGBO ENGINEERING IMP & EXP CO LTD,386 WANGCUN ROAD,NINGBO ZHEIJIANG,,,86 574 28852907,testingmainguyen+101@gmail.com,JESSICA,,
General,ORG0102,,,UPD INC,4507 S MAYWOOD AVE,VERNON CA,,,323 588 8811,testingmainguyen+102@gmail.com,ANA SOTELO,,
General,ORG0103,CNSUD,,CROSSMARK ASIA LIMITED,FUXING ROAD,LELIU TOWN SHUNDE,,,86 1353 8050335,testingmainguyen+103@gmail.com,DONNY CANGELOSI 0416 493355,,
General,ORG0104,CNYIW,,RENOWN (HK) IMPORT AND EXPORT COMPA,674 BEICUN SOUTH ROAD,YIWU CITY ZHEJIANG,,,86 579 85793582,testingmainguyen+104@gmail.com,WILLIAM GUO,,
General,ORG0105,HKHKG,,ATICO INTERNATIONAL (ASIA0 LTD,22-24 HUNG HOM WAN,HUNG HOM,,,,testingmainguyen+105@gmail.com,JEROME .BIRKS,,
General,ORG0106,,,FORTTUNA FOODS INC,5233 CAMINO PLAYA MALAGA,SAN DIEGO CALIFORNIA,,,619 298 3390,testingmainguyen+106@gmail.com,ANTONIO DOMINGUES,,
General,ORG0107,,,THE MAZEL COMPANY,31000 AURORA ROAD,SOLON OHIO,,,440 248 5200,testingmainguyen+107@gmail.com,MARK ERMINE,,
General,ORG0108,AUBNE,,BRAZCO INTERNATIONAL PTY LTD,1069 KINGSFORD SMITH DRIVE,EAGLE FARM,,,07 3868 4220,testingmainguyen+108@gmail.com,SCOTT FISHER,,
General,ORG0109,AUSYD,,GOLDEN WARP PTY LTD,UNIT 1-2 280 NEW LINE ROAD,DURAL,,,02 9651 4277,testingmainguyen+109@gmail.com,CHERYL LOW  0403 547 333,,
General,ORG0110,,,AACHENER PRINTEN-UND SCHOKOLADENFAB,BORCHERSSTRABE 18,AACHEN,,,0049 0 241 89…,testingmainguyen+110@gmail.com,SABINE JUNG,,
General,ORG0111,CNNKG,,NANJING DONGHUA TEDDY TOYS CO LTD,TIANFU YUAN GULOU BLOCK,NANJING JIANGSU PROVINCE,,,86 25 86892107,testingmainguyen+111@gmail.com,SUNJIE (MR),,
General,ORG0112,AUFRE,,AUSTWIDE CONSUMER PRODUCTS,6-22 MAGNET RD,CANNINGVALE,,,08 9455 3200,testingmainguyen+112@gmail.com,GEOFF HEM,,
General,ORG0113,HKHKG,,MULTI LINES INTERNATIONAL CO LTD,19 SHEUNG YUET RD,KOWLOON BAY KOWLOON,,,852 2558 1786,testingmainguyen+113@gmail.com,GARY SINGH,,
General,ORG0114,,,THE BELGIAN CHOCOLATE GROUP NV,GEELSEWEG 72,OLEN,,,32 14258525,testingmainguyen+114@gmail.com,MICHIEL MEIRE,,
General,ORG0115,HKHKG,,CARDINAL GAMES INTERNATIONAL LTD,92 GRANVILLE RD,TST EAST KOWLOON,,,852 23692321,testingmainguyen+115@gmail.com,CHRIS PARAS,,
General,ORG0116,GBBHM,,WALKERS CHOCOLATES LTD,BRICKFIELD ROAD,WEST MIDLANDS BIRMINGHAM,,,44 121 244 1600,testingmainguyen+116@gmail.com,DANIEL DOHERTY,,
General,ORG0117,AUMEL,,NMC INTERNATIONAL,43 REDESDALE ROAD,KYNETON,,,03 5421 1500,testingmainguyen+117@gmail.com,KARL BARKER,,
General,ORG0118,HKHKG,,CPL GLOBAL SOURCING LIMITED,61 MODY ROAD,TSIM SHA TSUI KOWLOON,,,852 3752 8001,testingmainguyen+118@gmail.com,LARA CEROLINI,,
General,ORG0119,,,PANSY ACCESSORIES CORPORATION,350 IRMA ST MARICK SUBDIVISION,CAINTA RIZAL,,,632 6569644,testingmainguyen+119@gmail.com,BENILDA MANALO,,
General,ORG0120,CNCAN,,"GUANGZHOU WICO INDUSTRIAL CO., LIMI",111 BAI YUN ROAD,YUE XIU DISTRICT GUANGZHOU,,,20 8329 2518,testingmainguyen+120@gmail.com,WILLIAM CHOW,,
General,ORG0121,GBMNC,,IDEAS MARKETING LTD (BIBBY FACTORS),253 HEYWOOD ROAD,PRESTWICH MANCHESTER,,,44 01617731902,testingmainguyen+121@gmail.com,LAUREN DAVIES,,
General,ORG0122,,,PROFUSION COSMETICS CORP (YIWU SUNR,2841 S RESERVIOR ST,CA,,,909 591 5678,testingmainguyen+122@gmail.com,SHARON WANG,,
General,ORG0123,CATOR,,CLT INTERNATIONAL (MORRISON FINANCI,2535 GERRARD STREET EAST,TORONTO,,,416 686 1140,testingmainguyen+123@gmail.com,HOWARD LINDS,,
General,ORG0124,,,HOSLEY INDIA PVT LTD,PHASE EXT,NOIDA UTTAR PRADESH,,,91 120 2562800,testingmainguyen+124@gmail.com,ANITHA SAJEEV,,
General,ORG0125,AUMEL,,ALMOR AGENCIES,338 ST KILDA STREET,BRIGHTON,,,0414 999 197,testingmainguyen+125@gmail.com,MARTIN ZLOTNICK,,
General,ORG0126,,,UCC DISTRIBUTING INC,1445 ENGINEER STREET,VISTA CALIFORNIA,,,760 431 4794,testingmainguyen+126@gmail.com,JOHN OROZCO,,
General,ORG0127,AUMEL,,CDB GOLDAIR PTY LTD,49 MCGREGOR'S DRIVE,KEILOR PARK,,,61 03 9336 4423,testingmainguyen+127@gmail.com,CHRIS BREMNER,,
General,ORG0128,HKHKG,,RMS INTERNATIONAL (HONG KONG) LTD,67 MODY ROAD,TSIM SHA TSUI KOWLOON,,,852 2954 5638,testingmainguyen+128@gmail.com,KEN LEUNG,,
General,ORG0129,AUMEL,,WALL ART WHOLESALERS PTY LTD,1A ROPER STREET,MOORABBIN,,,,testingmainguyen+129@gmail.com,RORY WEINER,,
General,ORG0130,HKHKG,,STRONGER PLASTIC CO LTD,168 TEXACO ROAD,TSUEN WAN NT,,,852 2615 1898,testingmainguyen+130@gmail.com,ERIC NG,,
General,ORG0131,CNNKG,,ARC GLASSWARE NANJING COMPANY LTD,88 XIANXIN ROAD,NANJING,,,613 9310 1755,testingmainguyen+131@gmail.com,SHAHRIAR KHAN,,
General,ORG0132,AUMEL,,PLAYGRO PTY LTD (INC NUBY),49-51 SUNMORE CLOSE,HEATHERTON,,,03 8558 2000,testingmainguyen+132@gmail.com,TOULA,,
General,ORG0133,AUMEL,,STUDIO KIDS PTY LTD,22 SINGLETON STREET,COLLINGWOOD,,,03 9419 9797,testingmainguyen+133@gmail.com,ALI FLETCHER,,
General,ORG0134,HKHKG,,KOWLING CO LTD,46/48 WYNDHAM STREET,CENTRAL HONG KONG,,,852 2733 1133,testingmainguyen+134@gmail.com,SANDY CHAN,,
General,ORG0135,AUMEL,,GFA (AUST) PTY LTD,61 SUNMORE CLOSE,HEATHERTON,,,03 9551 4666,testingmainguyen+135@gmail.com,AMANDA AITKEN,,
General,ORG0136,HKHKG,,MAIORA GROUP LIMITED,ROOM 606 6/F YALE IND CENTRE,61-63 AU PUI WAN STREET SHATIN,,,852 3428 2820,testingmainguyen+136@gmail.com,ELLEN,,
General,ORG0137,AUMEL,,JEMARK IMPORTS P/T OVERSEAS,1 TABBITA STREET,MOORABBIN,,,03 9532 5562,testingmainguyen+137@gmail.com,DANIEL PERLSTEIN,,
General,ORG0138,AUMEL,,BRANDWORX PTY LTD,PO BOX 631,ROSANNA,,,61 4172 57353,testingmainguyen+138@gmail.com,MAX SMITH,,
General,ORG0139,,,TREE TOYS CORPORATION,8TH FLOOR NO 16 LANE 12 1 NEIHU ROA,NEIHU,,,886 2 2797 8086,testingmainguyen+139@gmail.com,NANCY LI,,
General,ORG0140,AUMEL,,SHAMROCK INTERNATIONAL,21-23 JOSEPH STREET,BLACKBURN NORTH,,,03 9895 4300,testingmainguyen+140@gmail.com,ALLEN DAVIS,,
General,ORG0141,TWTPE,,QUESTWOOD CORPORATION (EVER TOWER),58 SEC 3 CHENGDE ROAD,TAIPEI,,,886 225 945817,testingmainguyen+141@gmail.com,JONATHAN HWANG,,
General,ORG0142,SGSIN,,ASPAIL SINGAPORE,629 ARJUNIEO ROAD CITITECH IND BLDG,SINGAPORE,,,65 6747 7090,testingmainguyen+142@gmail.com,T J CHIA,,
